primary,oxydb_mac_2020,genbank,genbank.1,number,mds_ies_db_2015
Contig4198.0.1v1,Contig4198.0.1v1,AMCR02007738,AMCR02007738.1,4198.0.1v1,
Contig4198.0.1i1,Contig4198.0.1i1,AMCR02007739,AMCR02007739.1,4198.0.1i1,
Contig4198.0.1i2,Contig4198.0.1i2,AMCR02007740,AMCR02007740.1,4198.0.1i2,
Contig4199.0,Contig4199.0,AMCR02007741,AMCR02007741.1,4199.0,OXYTRI_MAC_4199
Contig4199.0v1,Contig4199.0v1,AMCR02007742,AMCR02007742.1,4199.0v1,
Contig4199.0i1,Contig4199.0i1,AMCR02007743,AMCR02007743.1,4199.0i1,
Contig4201.0,Contig4201.0,AMCR02007744,AMCR02007744.1,4201.0,OXYTRI_MAC_4201
Contig4202.0,Contig4202.0,AMCR02007745,AMCR02007745.1,4202.0,OXYTRI_MAC_4202
Contig4203.0,Contig4203.0,AMCR02007746,AMCR02007746.1,4203.0,OXYTRI_MAC_4203
Contig4204.0,Contig4204.0,AMCR02007747,AMCR02007747.1,4204.0,OXYTRI_MAC_4204
Contig4205.0,Contig4205.0,AMCR02007748,AMCR02007748.1,4205.0,OXYTRI_MAC_4205
Contig4205.0i1,Contig4205.0i1,AMCR02007749,AMCR02007749.1,4205.0i1,
Contig4205.0i1v1,Contig4205.0i1v1,AMCR02007750,AMCR02007750.1,4205.0i1v1,
Contig4206.0,Contig4206.0,AMCR02007751,AMCR02007751.1,4206.0,OXYTRI_MAC_4206
Contig4207.0,Contig4207.0,AMCR02007752,AMCR02007752.1,4207.0,OXYTRI_MAC_4207
Contig4207.0i1,Contig4207.0i1,AMCR02007753,AMCR02007753.1,4207.0i1,
Contig4208.0,Contig4208.0,AMCR02007754,AMCR02007754.1,4208.0,OXYTRI_MAC_4208
Contig4209.0,Contig4209.0,AMCR02007755,AMCR02007755.1,4209.0,OXYTRI_MAC_4209
Contig4209.0v1,Contig4209.0v1,AMCR02007756,AMCR02007756.1,4209.0v1,
Contig4210.0,Contig4210.0,AMCR02007757,AMCR02007757.1,4210.0,OXYTRI_MAC_4210
Contig4210.0v1,Contig4210.0v1,AMCR02007758,AMCR02007758.1,4210.0v1,
Contig4211.0,Contig4211.0,AMCR02007759,AMCR02007759.1,4211.0,
Contig4211.0i1,Contig4211.0i1,AMCR02007760,AMCR02007760.1,4211.0i1,
Contig4213.0,Contig4213.0,AMCR02007761,AMCR02007761.1,4213.0,OXYTRI_MAC_4213
Contig4213.0v1,Contig4213.0v1,AMCR02007762,AMCR02007762.1,4213.0v1,
Contig4215.0,Contig4215.0,AMCR02007763,AMCR02007763.1,4215.0,OXYTRI_MAC_4215
Contig4217.0,Contig4217.0,AMCR02007764,AMCR02007764.1,4217.0,OXYTRI_MAC_4217
Contig4217.0v1,Contig4217.0v1,AMCR02007765,AMCR02007765.1,4217.0v1,
Contig4218.0,Contig4218.0,AMCR02007766,AMCR02007766.1,4218.0,OXYTRI_MAC_4218
Contig4218.0v1,Contig4218.0v1,AMCR02007767,AMCR02007767.1,4218.0v1,
Contig4218.0v2,Contig4218.0v2,AMCR02007768,AMCR02007768.1,4218.0v2,
Contig4220.0,Contig4220.0,AMCR02007769,AMCR02007769.1,4220.0,OXYTRI_MAC_4220
Contig4220.0i1,Contig4220.0i1,AMCR02007770,AMCR02007770.1,4220.0i1,
Contig4220.0i1v1,Contig4220.0i1v1,AMCR02007771,AMCR02007771.1,4220.0i1v1,
Contig4223.0,Contig4223.0,AMCR02007772,AMCR02007772.1,4223.0,OXYTRI_MAC_4223
Contig4225.0.0,Contig4225.0.0,AMCR02007773,AMCR02007773.1,4225.0.0,OXYTRI_MAC_4225
Contig4225.0.0v1,Contig4225.0.0v1,AMCR02007774,AMCR02007774.1,4225.0.0v1,
Contig4226.0,Contig4226.0,AMCR02007775,AMCR02007775.1,4226.0,OXYTRI_MAC_4226
Contig4228.0,Contig4228.0,AMCR02007776,AMCR02007776.1,4228.0,
Contig4229.0,Contig4229.0,AMCR02007777,AMCR02007777.1,4229.0,OXYTRI_MAC_4229
Contig4229.0i1,Contig4229.0i1,AMCR02007778,AMCR02007778.1,4229.0i1,
Contig4231.0,Contig4231.0,AMCR02007779,AMCR02007779.1,4231.0,OXYTRI_MAC_4231
Contig4232.0,Contig4232.0,AMCR02007780,AMCR02007780.1,4232.0,OXYTRI_MAC_4232
Contig4234.0,Contig4234.0,AMCR02007781,AMCR02007781.1,4234.0,OXYTRI_MAC_4234
Contig4234.0i1,Contig4234.0i1,AMCR02007782,AMCR02007782.1,4234.0i1,
Contig4235.0,Contig4235.0,AMCR02007783,AMCR02007783.1,4235.0,OXYTRI_MAC_4235
Contig4235.0v1,Contig4235.0v1,AMCR02007784,AMCR02007784.1,4235.0v1,
Contig4235.0v2,Contig4235.0v2,AMCR02007785,AMCR02007785.1,4235.0v2,
Contig4239.0,Contig4239.0,AMCR02007786,AMCR02007786.1,4239.0,OXYTRI_MAC_4239
Contig4239.0i1,Contig4239.0i1,AMCR02007787,AMCR02007787.1,4239.0i1,
Contig4239.0i1v1,Contig4239.0i1v1,AMCR02007788,AMCR02007788.1,4239.0i1v1,
Contig4240.0,Contig4240.0,AMCR02007789,AMCR02007789.1,4240.0,OXYTRI_MAC_4240
Contig4241.0,Contig4241.0,AMCR02007790,AMCR02007790.1,4241.0,
