primary,oxydb_mac_2012,number,mds_ies_db_2015
Contig428.0,Contig428.0,428.0,OXYTRI_MAC_428
Contig423.0,Contig423.0,423.0,OXYTRI_MAC_423
Contig422.0,Contig422.0,422.0,OXYTRI_MAC_422
Contig421.0,Contig421.0,421.0,OXYTRI_MAC_421
Contig420.0,Contig420.0,420.0,OXYTRI_MAC_420
Contig11018.0,Contig11018.0,11018.0,OXYTRI_MAC_11018
Contig1587.0,Contig1587.0,1587.0,OXYTRI_MAC_1587
Contig17270.0,Contig17270.0,17270.0,OXYTRI_MAC_17270
Contig17271.0,Contig17271.0,17271.0,OXYTRI_MAC_17271
Contig17272.0,Contig17272.0,17272.0,OXYTRI_MAC_17272
Contig17273.0,Contig17273.0,17273.0,OXYTRI_MAC_17273
Contig17274.0,Contig17274.0,17274.0,OXYTRI_MAC_17274
Contig17275.0,Contig17275.0,17275.0,OXYTRI_MAC_17275
Contig17276.0,Contig17276.0,17276.0,OXYTRI_MAC_17276
Contig17277.0,Contig17277.0,17277.0,OXYTRI_MAC_17277
Contig17278.0,Contig17278.0,17278.0,OXYTRI_MAC_17278
Contig17279.0,Contig17279.0,17279.0,OXYTRI_MAC_17279
Contig11324.0.0,Contig11324.0.0,11324.0.0,OXYTRI_MAC_11324
Contig12175.0,Contig12175.0,12175.0,OXYTRI_MAC_12175
Contig12176.0.0,Contig12176.0.0,12176.0.0,OXYTRI_MAC_12176
Contig12176.0.1,Contig12176.0.1,12176.0.1,OXYTRI_MAC_24410
Contig12177.0.0,Contig12177.0.0,12177.0.0,OXYTRI_MAC_12177
Contig12170.0,Contig12170.0,12170.0,OXYTRI_MAC_12170
Contig12171.0,Contig12171.0,12171.0,OXYTRI_MAC_12171
Contig12172.0,Contig12172.0,12172.0,OXYTRI_MAC_12172
Contig12173.0,Contig12173.0,12173.0,OXYTRI_MAC_12173
Contig12178.0,Contig12178.0,12178.0,OXYTRI_MAC_12178
Contig12179.0,Contig12179.0,12179.0,OXYTRI_MAC_12179
Contig5433.0,Contig5433.0,5433.0,OXYTRI_MAC_5433
