name,variant
Contig109.1,"Contig109.1,Contig109.1v1,Contig109.1i1,Contig109.1i2,Contig109.1i2v1"
Contig109.1v1,"Contig109.1,Contig109.1v1,Contig109.1i1,Contig109.1i2,Contig109.1i2v1"
Contig109.1i1,"Contig109.1,Contig109.1v1,Contig109.1i1,Contig109.1i2,Contig109.1i2v1"
Contig109.1i2,"Contig109.1,Contig109.1v1,Contig109.1i1,Contig109.1i2,Contig109.1i2v1"
Contig109.1i2v1,"Contig109.1,Contig109.1v1,Contig109.1i1,Contig109.1i2,Contig109.1i2v1"
Contig110.0,"Contig110.0,Contig110.0v1"
Contig110.0v1,"Contig110.0,Contig110.0v1"
Contig110.1,Contig110.1
Contig111.0,Contig111.0
Contig111.1,"Contig111.1,Contig111.1i1"
Contig111.1i1,"Contig111.1,Contig111.1i1"
Contig112.0,Contig112.0
Contig113.1,"Contig113.1,Contig113.1i1"
Contig113.1i1,"Contig113.1,Contig113.1i1"
Contig114.0,Contig114.0
Contig114.1,"Contig114.1,Contig114.1v1"
Contig114.1v1,"Contig114.1,Contig114.1v1"
Contig115.1,Contig115.1
Contig116.0,"Contig116.0,Contig116.0v1"
Contig116.0v1,"Contig116.0,Contig116.0v1"
Contig116.1,"Contig116.1,Contig116.1v1"
Contig116.1v1,"Contig116.1,Contig116.1v1"
Contig117.1,"Contig117.1,Contig117.1i1"
Contig117.1i1,"Contig117.1,Contig117.1i1"
Contig118.1,"Contig118.1,Contig118.1v1,Contig118.1v2"
Contig118.1v1,"Contig118.1,Contig118.1v1,Contig118.1v2"
Contig118.1v2,"Contig118.1,Contig118.1v1,Contig118.1v2"
Contig119.1,Contig119.1
Contig120.0,"Contig120.0,Contig120.0v1"
Contig120.0v1,"Contig120.0,Contig120.0v1"
Contig120.1,"Contig120.1,Contig120.1i1"
Contig120.1i1,"Contig120.1,Contig120.1i1"
Contig121.0,Contig121.0
Contig121.1,"Contig121.1,Contig121.1i1"
Contig121.1i1,"Contig121.1,Contig121.1i1"
Contig122.0,"Contig122.0,Contig122.0v1"
Contig122.0v1,"Contig122.0,Contig122.0v1"
Contig122.1,"Contig122.1,Contig122.1i1,Contig122.1i2"
Contig122.1i1,"Contig122.1,Contig122.1i1,Contig122.1i2"
Contig122.1i2,"Contig122.1,Contig122.1i1,Contig122.1i2"
Contig123.0,Contig123.0
Contig124.0,Contig124.0
Contig124.1,"Contig124.1,Contig124.1i2,Contig124.1i1"
Contig124.1i2,"Contig124.1,Contig124.1i2,Contig124.1i1"
Contig124.1i1,"Contig124.1,Contig124.1i2,Contig124.1i1"
Contig125.0.1,Contig125.0.1
Contig125.1,"Contig125.1,Contig125.1i1,Contig125.1i1v1"
Contig125.1i1,"Contig125.1,Contig125.1i1,Contig125.1i1v1"
Contig125.1i1v1,"Contig125.1,Contig125.1i1,Contig125.1i1v1"
Contig126.0,"Contig126.0,Contig126.0v1"
Contig126.0v1,"Contig126.0,Contig126.0v1"
Contig126.1,"Contig126.1,Contig126.1v1,Contig126.1i1,Contig126.1i2"
