primary,oxydb_mac_gene_2020
g40507,g40507
g40508,g40508
g31555,g31555
g25695,g25695
g41712,g41712
g41713,g41713
g16390,g16390
g37796,g37796
g16402,g16402
g10763,g10763
g1432,g1432
g29567,g29567
g6218,g6218
g1800,g1800
g38325,g38325
g48145,g48145
g48146,g48146
g9301,g9301
g8095,g8095
g42625,g42625
g5153,g5153
g1721,g1721
g1731,g1731
g25335,g25335
g5433,g5433
g15302,g15302
g15299,g15299
g25266,g25266
g21529,g21529
g42293,g42293
g42294,g42294
g23845,g23845
g23846,g23846
g15554,g15554
g15555,g15555
g26529,g26529
g30569,g30569
g27678,g27678
g33987,g33987
g27703,g27703
g7069,g7069
g43285,g43285
g31851,g31851
g12876,g12876
g12877,g12877
g12878,g12878
g36349,g36349
g36350,g36350
g36351,g36351
g27984,g27984
g15967,g15967
g24533,g24533
g45518,g45518
g45519,g45519
g45520,g45520
g34013,g34013
g34014,g34014
g31265,g31265
g425,g425
g19517,g19517
g15240,g15240
g40992,g40992
g40993,g40993
g25141,g25141
g25142,g25142
g28067,g28067
g28068,g28068
g28070,g28070
g28075,g28075
g2969,g2969
g2970,g2970
g5561,g5561
g36774,g36774
g42407,g42407
g15512,g15512
g4244,g4244
g34161,g34161
g34162,g34162
g20684,g20684
g20685,g20685
g20696,g20696
g20697,g20697
g25813,g25813
g25814,g25814
g275,g275
g276,g276
g46052,g46052
g19778,g19778
g47555,g47555
g47556,g47556
g37253,g37253
g37254,g37254
g48090,g48090
g25958,g25958
g1328,g1328
g15870,g15870
g25568,g25568
g24033,g24033
g34567,g34567
g1726,g1726
g2745,g2745
g38337,g38337
g38347,g38347
g40547,g40547
g19066,g19066
g7736,g7736
g7726,g7726
g7731,g7731
g7749,g7749
g7746,g7746
g27111,g27111
g25771,g25771
g25772,g25772
g18313,g18313
g18314,g18314
g33258,g33258
g33259,g33259
g40727,g40727
g40728,g40728
g20981,g20981
g26438,g26438
g12239,g12239
g12240,g12240
g31797,g31797
g31798,g31798
g31803,g31803
g31804,g31804
g38458,g38458
g3086,g3086
g3080,g3080
g47047,g47047
g17484,g17484
g17485,g17485
g17486,g17486
g17487,g17487
g36883,g36883
g36884,g36884
g36885,g36885
g36886,g36886
g43482,g43482
g30751,g30751
g30752,g30752
g14102,g14102
g14103,g14103
g11416,g11416
g11417,g11417
g11409,g11409
g11410,g11410
g11426,g11426
g11427,g11427
g41521,g41521
g41522,g41522
g6229,g6229
g6230,g6230
g6231,g6231
g6244,g6244
g6245,g6245
g6247,g6247
g6236,g6236
g6237,g6237
g6250,g6250
g6251,g6251
g29100,g29100
g29101,g29101
g16548,g16548
g16549,g16549
g17855,g17855
g13301,g13301
g13302,g13302
g28558,g28558
g28559,g28559
g39808,g39808
g26771,g26771
g9578,g9578
g9585,g9585
g19717,g19717
g19718,g19718
g42540,g42540
g42541,g42541
g34968,g34968
g34969,g34969
g15747,g15747
g601,g601
g34802,g34802
g34803,g34803
g17336,g17336
g17337,g17337
g4167,g4167
g13937,g13937
g22158,g22158
g34917,g34917
g34918,g34918
g38267,g38267
g38268,g38268
g24301,g24301
g36399,g36399
g36400,g36400
g4468,g4468
g4469,g4469
g7181,g7181
g7195,g7195
g7196,g7196
g47170,g47170
g47660,g47660
g28625,g28625
g28626,g28626
g28640,g28640
g28641,g28641
g47427,g47427
g36522,g36522
g36523,g36523
g43997,g43997
g43998,g43998
g24478,g24478
g31641,g31641
g20340,g20340
g20341,g20341
g20342,g20342
g20343,g20343
g29537,g29537
g29538,g29538
g29539,g29539
g29540,g29540
g6819,g6819
g6203,g6203
g6204,g6204
g29806,g29806
g6464,g6464
g6477,g6477
g1466,g1466
g41854,g41854
g17351,g17351
g23538,g23538
g44530,g44530
g25216,g25216
g36079,g36079
g16452,g16452
g37827,g37827
g8318,g8318
g12486,g12486
g45114,g45114
g45115,g45115
g45116,g45116
g30570,g30570
g30571,g30571
g42805,g42805
g42806,g42806
g42807,g42807
g42808,g42808
g42809,g42809
g43649,g43649
g43650,g43650
g26371,g26371
g11795,g11795
g40774,g40774
g39916,g39916
g41957,g41957
g21504,g21504
g33530,g33530
g16265,g16265
g16266,g16266
g16267,g16267
g33762,g33762
g33763,g33763
g33764,g33764
g39163,g39163
g16223,g16223
g18217,g18217
g35629,g35629
g46087,g46087
g2873,g2873
g3282,g3282
g20407,g20407
g27179,g27179
g12727,g12727
g9149,g9149
g45585,g45585
