primary,oxydb_mic_2014,mds_ies_db_2015,genbank,genbank.1,number
OXYTRI_MIC_67309,ctg7180000067309,OXYTRI_MIC_67309,ARYC01000167,ARYC01000167.1,67309
OXYTRI_MIC_67310,ctg7180000067310,OXYTRI_MIC_67310,ARYC01000168,ARYC01000168.1,67310
OXYTRI_MIC_67311,ctg7180000067311,OXYTRI_MIC_67311,ARYC01000169,ARYC01000169.1,67311
OXYTRI_MIC_67312,ctg7180000067312,OXYTRI_MIC_67312,ARYC01000170,ARYC01000170.1,67312
OXYTRI_MIC_67313,ctg7180000067313,OXYTRI_MIC_67313,ARYC01000171,ARYC01000171.1,67313
OXYTRI_MIC_67314,ctg7180000067314,OXYTRI_MIC_67314,ARYC01000172,ARYC01000172.1,67314
OXYTRI_MIC_67315,ctg7180000067315,OXYTRI_MIC_67315,ARYC01000173,ARYC01000173.1,67315
OXYTRI_MIC_67316,ctg7180000067316,OXYTRI_MIC_67316,ARYC01000174,ARYC01000174.1,67316
OXYTRI_MIC_67317,ctg7180000067317,OXYTRI_MIC_67317,ARYC01000175,ARYC01000175.1,67317
OXYTRI_MIC_67318,ctg7180000067318,OXYTRI_MIC_67318,ARYC01000176,ARYC01000176.1,67318
OXYTRI_MIC_67319,ctg7180000067319,OXYTRI_MIC_67319,ARYC01000177,ARYC01000177.1,67319
OXYTRI_MIC_67320,ctg7180000067320,OXYTRI_MIC_67320,ARYC01000178,ARYC01000178.1,67320
OXYTRI_MIC_67321,ctg7180000067321,OXYTRI_MIC_67321,ARYC01000179,ARYC01000179.1,67321
OXYTRI_MIC_67322,ctg7180000067322,OXYTRI_MIC_67322,ARYC01000180,ARYC01000180.1,67322
OXYTRI_MIC_67323,ctg7180000067323,OXYTRI_MIC_67323,ARYC01000181,ARYC01000181.1,67323
OXYTRI_MIC_67324,ctg7180000067324,OXYTRI_MIC_67324,ARYC01000182,ARYC01000182.1,67324
OXYTRI_MIC_67325,ctg7180000067325,OXYTRI_MIC_67325,ARYC01000183,ARYC01000183.1,67325
OXYTRI_MIC_67326,ctg7180000067326,OXYTRI_MIC_67326,ARYC01000184,ARYC01000184.1,67326
OXYTRI_MIC_67327,ctg7180000067327,OXYTRI_MIC_67327,ARYC01000185,ARYC01000185.1,67327
OXYTRI_MIC_67329,ctg7180000067329,OXYTRI_MIC_67329,ARYC01000186,ARYC01000186.1,67329
OXYTRI_MIC_67330,ctg7180000067330,OXYTRI_MIC_67330,ARYC01000187,ARYC01000187.1,67330
OXYTRI_MIC_67331,ctg7180000067331,OXYTRI_MIC_67331,ARYC01000188,ARYC01000188.1,67331
OXYTRI_MIC_67332,ctg7180000067332,OXYTRI_MIC_67332,ARYC01000189,ARYC01000189.1,67332
OXYTRI_MIC_67333,ctg7180000067333,OXYTRI_MIC_67333,ARYC01000190,ARYC01000190.1,67333
OXYTRI_MIC_67334,ctg7180000067334,OXYTRI_MIC_67334,ARYC01000191,ARYC01000191.1,67334
OXYTRI_MIC_67335,ctg7180000067335,OXYTRI_MIC_67335,ARYC01000192,ARYC01000192.1,67335
OXYTRI_MIC_67336,ctg7180000067336,OXYTRI_MIC_67336,ARYC01000193,ARYC01000193.1,67336
OXYTRI_MIC_67337,ctg7180000067337,OXYTRI_MIC_67337,ARYC01000194,ARYC01000194.1,67337
OXYTRI_MIC_67338,ctg7180000067338,OXYTRI_MIC_67338,ARYC01000195,ARYC01000195.1,67338
OXYTRI_MIC_67339,ctg7180000067339,OXYTRI_MIC_67339,ARYC01000196,ARYC01000196.1,67339
OXYTRI_MIC_67340,ctg7180000067340,OXYTRI_MIC_67340,ARYC01000197,ARYC01000197.1,67340
OXYTRI_MIC_67341,ctg7180000067341,OXYTRI_MIC_67341,ARYC01000198,ARYC01000198.1,67341
OXYTRI_MIC_67342,ctg7180000067342,OXYTRI_MIC_67342,ARYC01000199,ARYC01000199.1,67342
OXYTRI_MIC_67343,ctg7180000067343,OXYTRI_MIC_67343,ARYC01000200,ARYC01000200.1,67343
OXYTRI_MIC_67344,ctg7180000067344,OXYTRI_MIC_67344,ARYC01000201,ARYC01000201.1,67344
OXYTRI_MIC_67345,ctg7180000067345,OXYTRI_MIC_67345,ARYC01000202,ARYC01000202.1,67345
OXYTRI_MIC_67347,ctg7180000067347,OXYTRI_MIC_67347,ARYC01000203,ARYC01000203.1,67347
OXYTRI_MIC_67348,ctg7180000067348,OXYTRI_MIC_67348,ARYC01000204,ARYC01000204.1,67348
OXYTRI_MIC_67349,ctg7180000067349,OXYTRI_MIC_67349,ARYC01000205,ARYC01000205.1,67349
OXYTRI_MIC_67351,ctg7180000067351,OXYTRI_MIC_67351,ARYC01000206,ARYC01000206.1,67351
OXYTRI_MIC_67352,ctg7180000067352,OXYTRI_MIC_67352,ARYC01000207,ARYC01000207.1,67352
OXYTRI_MIC_67353,ctg7180000067353,OXYTRI_MIC_67353,ARYC01000208,ARYC01000208.1,67353
OXYTRI_MIC_67354,ctg7180000067354,OXYTRI_MIC_67354,ARYC01000209,ARYC01000209.1,67354
OXYTRI_MIC_67355,ctg7180000067355,OXYTRI_MIC_67355,ARYC01000210,ARYC01000210.1,67355
OXYTRI_MIC_67356,ctg7180000067356,OXYTRI_MIC_67356,ARYC01000211,ARYC01000211.1,67356
OXYTRI_MIC_67357,ctg7180000067357,OXYTRI_MIC_67357,ARYC01000212,ARYC01000212.1,67357
OXYTRI_MIC_67359,ctg7180000067359,OXYTRI_MIC_67359,ARYC01000213,ARYC01000213.1,67359
OXYTRI_MIC_67361,ctg7180000067361,OXYTRI_MIC_67361,ARYC01000214,ARYC01000214.1,67361
OXYTRI_MIC_67362,ctg7180000067362,OXYTRI_MIC_67362,ARYC01000215,ARYC01000215.1,67362
OXYTRI_MIC_67363,ctg7180000067363,OXYTRI_MIC_67363,ARYC01000216,ARYC01000216.1,67363
OXYTRI_MIC_67364,ctg7180000067364,OXYTRI_MIC_67364,ARYC01000217,ARYC01000217.1,67364
OXYTRI_MIC_67365,ctg7180000067365,OXYTRI_MIC_67365,ARYC01000218,ARYC01000218.1,67365
OXYTRI_MIC_67366,ctg7180000067366,OXYTRI_MIC_67366,ARYC01000219,ARYC01000219.1,67366
OXYTRI_MIC_67367,ctg7180000067367,OXYTRI_MIC_67367,ARYC01000220,ARYC01000220.1,67367
OXYTRI_MIC_67368,ctg7180000067368,OXYTRI_MIC_67368,ARYC01000221,ARYC01000221.1,67368
OXYTRI_MIC_67370,ctg7180000067370,OXYTRI_MIC_67370,ARYC01000222,ARYC01000222.1,67370
OXYTRI_MIC_67371,ctg7180000067371,OXYTRI_MIC_67371,ARYC01000223,ARYC01000223.1,67371
OXYTRI_MIC_67373,ctg7180000067373,OXYTRI_MIC_67373,ARYC01000224,ARYC01000224.1,67373
OXYTRI_MIC_67374,ctg7180000067374,OXYTRI_MIC_67374,ARYC01000225,ARYC01000225.1,67374
OXYTRI_MIC_67375,ctg7180000067375,OXYTRI_MIC_67375,ARYC01000226,ARYC01000226.1,67375
